Sorted by slice:
         IMAGE     REFERENCE   QUALITY     ROTATION    SCALE       TX          TY
z00  z01      0.683725     -0.030680      1.000000    -11.527832     13.824677
z01  z02      0.685808      0.003068      1.000000     21.395142     56.492737
z02  z03      0.614433      0.027612      1.000000     21.432556    -53.759338
z03  z04      0.733334      0.030680      1.000000     27.388641      2.895050
z04  z05      0.766942     -0.027612      1.000000     23.493134     -6.710999
z05  z06      0.701661     -0.067495      1.000000    -32.286377     51.660645
z06  z07      0.401449      0.046019      1.000000     15.762390    -59.433533
z07  z08      0.666793     -0.012272      1.000000    -61.994812     27.007294
z08  z09      0.739783     -0.021476      1.000000     -8.018127     51.060638
z09  z10      0.750325      0.000000      1.000000     22.000000    -48.000000
z10  z11      0.521395      0.030680      1.000000     47.440582      1.509491
z11  z12      0.720997     -0.009204      1.000000    -12.671875      6.807556
z12  z13      0.775713     -0.006136      1.000000    -17.082581     11.236969
z13  z14      0.508916     -0.015340      1.000000    -57.756897     10.680634
z14  z15      0.508473      0.067495      1.000000     49.800140    -34.416748


Sorted by quality:
         IMAGE     REFERENCE   QUALITY     ROTATION    SCALE       TX          TY
z06  z07      0.401449      0.046019      1.000000     15.762390    -59.433533
z14  z15      0.508473      0.067495      1.000000     49.800140    -34.416748
z13  z14      0.508916     -0.015340      1.000000    -57.756897     10.680634
z10  z11      0.521395      0.030680      1.000000     47.440582      1.509491
z02  z03      0.614433      0.027612      1.000000     21.432556    -53.759338
z07  z08      0.666793     -0.012272      1.000000    -61.994812     27.007294
z00  z01      0.683725     -0.030680      1.000000    -11.527832     13.824677
z01  z02      0.685808      0.003068      1.000000     21.395142     56.492737
z05  z06      0.701661     -0.067495      1.000000    -32.286377     51.660645
z11  z12      0.720997     -0.009204      1.000000    -12.671875      6.807556
z03  z04      0.733334      0.030680      1.000000     27.388641      2.895050
z08  z09      0.739783     -0.021476      1.000000     -8.018127     51.060638
z09  z10      0.750325      0.000000      1.000000     22.000000    -48.000000
z04  z05      0.766942     -0.027612      1.000000     23.493134     -6.710999
z12  z13      0.775713     -0.006136      1.000000    -17.082581     11.236969
