Sorted by slice:
IMAGE    REFERENCE  CORRELATION   DISTORTION    CORRESPOND    CONSTRAIN     ENERGY
     z00      z01     0.577368      0.000798      0.000000      0.000000     -0.575771
     z01      z02     0.598600      0.000609      0.000000      0.000000     -0.597382
     z02      z03     0.573725      0.000836      0.000000      0.000000     -0.572054
     z03      z04     0.592527      0.000941      0.000000      0.000000     -0.590646
     z04      z05     0.599654      0.000577      0.000000      0.000000     -0.598500
     z05      z06     0.590674      0.000778      0.000000      0.000000     -0.589118
     z06      z07     0.607226      0.000655      0.000000      0.000000     -0.605916
     z07      z08     0.619004      0.000478      0.000000      0.000000     -0.618047
     z08      z09     0.609152      0.000441      0.000000      0.000000     -0.608271
     z09      z10     0.605929      0.000663      0.000000      0.000000     -0.604604
     z10      z11     0.597888      0.000629      0.000000      0.000000     -0.596631
     z11      z12     0.603779      0.000555      0.000000      0.000000     -0.602669
     z12      z13     0.607703      0.000708      0.000000      0.000000     -0.606288
     z13      z14     0.609796      0.000584      0.000000      0.000000     -0.608628
     z14      z15     0.605628      0.000512      0.000000      0.000000     -0.604605


Sorted by energy:
IMAGE    REFERENCE  CORRELATION   DISTORTION    CORRESPOND    CONSTRAIN     ENERGY
     z02      z03      0.573725      0.000836      0.000000      0.000000     -0.572054
     z00      z01      0.577368      0.000798      0.000000      0.000000     -0.575771
     z05      z06      0.590674      0.000778      0.000000      0.000000     -0.589118
     z03      z04      0.592527      0.000941      0.000000      0.000000     -0.590646
     z10      z11      0.597888      0.000629      0.000000      0.000000     -0.596631
     z01      z02      0.598600      0.000609      0.000000      0.000000     -0.597382
     z04      z05      0.599654      0.000577      0.000000      0.000000     -0.598500
     z11      z12      0.603779      0.000555      0.000000      0.000000     -0.602669
     z09      z10      0.605929      0.000663      0.000000      0.000000     -0.604604
     z14      z15      0.605628      0.000512      0.000000      0.000000     -0.604605
     z06      z07      0.607226      0.000655      0.000000      0.000000     -0.605916
     z12      z13      0.607703      0.000708      0.000000      0.000000     -0.606288
     z08      z09      0.609152      0.000441      0.000000      0.000000     -0.608271
     z13      z14      0.609796      0.000584      0.000000      0.000000     -0.608628
     z07      z08      0.619004      0.000478      0.000000      0.000000     -0.618047
